site,year,date_time,rain,fstrips,fcontrol,pad,,
arm,2016,4/30/2016 19:45,0,1000,1001,,,
arm,2016,5/1/2016 9:40,0,,1001,,,
arm,2016,5/9/2016 2:05,0.001,,1006,,,
arm,2016,5/9/2016 2:10,0.001,,1006,,,
arm,2016,5/9/2016 2:15,0.001,,1006,,,
arm,2016,5/9/2016 3:15,0.001,,1006,,,
arm,2016,5/9/2016 3:20,0.003,,1006,,,
arm,2016,5/9/2016 3:25,0.006,,1006,,,
arm,2016,5/9/2016 3:30,0.004,,1006,,,
arm,2016,5/9/2016 3:35,0.001,,1006,,,
arm,2016,5/9/2016 3:40,0.001,,1006,,,
arm,2016,5/9/2016 3:45,0.001,,1006,,,
arm,2016,5/9/2016 5:05,0.001,,1006,,,
arm,2016,5/9/2016 5:10,0.001,,1006,,,
arm,2016,5/9/2016 5:15,0.001,,1006,,,
arm,2016,5/9/2016 7:40,0.001,,1006,,,
arm,2016,5/9/2016 7:45,0.001,,1006,,,
arm,2016,5/9/2016 21:45,0.001,,1006,,,
arm,2016,5/9/2016 21:50,0.001,,1006,,,
arm,2016,5/9/2016 22:10,0.001,,1006,,,
arm,2016,5/9/2016 22:15,0.001,,1006,,,
arm,2016,5/9/2016 22:20,0.001,,1006,,,
arm,2016,5/9/2016 22:25,0.001,,1006,,,
arm,2016,5/9/2016 22:30,0.001,,1006,,,
arm,2016,5/9/2016 22:35,0.001,,1006,,,
arm,2016,5/9/2016 23:15,0.001,,1006,,,
arm,2016,5/9/2016 23:20,0.001,,1006,,,
arm,2016,5/11/2016 8:05,0.001,,1006,,,
arm,2016,5/11/2016 8:10,0.003,,1006,,,
arm,2016,5/11/2016 8:15,0.003,,1006,,,
arm,2016,5/11/2016 8:20,0.001,,1006,,,
arm,2016,5/11/2016 8:25,0.001,,1006,,,
arm,2016,5/11/2016 8:30,0.002,,1006,,,
arm,2016,5/11/2016 8:35,0.002,,1006,,,
arm,2016,5/11/2016 8:40,0.001,,1006,,,
arm,2016,5/11/2016 8:45,0.001,,1006,,,
arm,2016,5/11/2016 8:50,0.001,,1006,,,
arm,2016,5/12/2016 8:45,0,,1006,,,
arm,2016,5/19/2016 8:45,0,,,1,,
arm,2016,5/24/2016 1:30,0.002,,,1,,
arm,2016,5/24/2016 1:35,0.001,,,1,,
arm,2016,5/25/2016 2:45,0.001,,,1,,
arm,2016,5/25/2016 2:50,0.002,,,1,,
arm,2016,5/25/2016 2:55,0.001,,,1,,
arm,2016,5/25/2016 6:40,0.001,,,1,,
arm,2016,5/25/2016 6:55,0.001,,,1,,
arm,2016,5/26/2016 0:30,0.001,,1008,1,,
arm,2016,5/26/2016 1:50,0.001,,1008,1,,
arm,2016,5/26/2016 1:55,0.001,,1008,1,,
arm,2016,5/26/2016 2:00,0.001,,1008,1,,
arm,2016,5/26/2016 2:10,0.001,,1008,1,,
arm,2016,5/26/2016 2:15,0.001,,1008,1,,
arm,2016,5/26/2016 2:20,0.003,,1008,1,,
arm,2016,5/26/2016 2:25,0.002,,1008,1,,
arm,2016,5/26/2016 2:30,0.001,,1008,1,,
arm,2016,5/26/2016 16:00,0.001,,1008,1,,
arm,2016,5/26/2016 16:05,0.005,,1008,1,,
arm,2016,5/26/2016 16:10,0.006,,1008,1,,
arm,2016,5/26/2016 16:15,0.007,,1008,1,,
arm,2016,5/26/2016 16:20,0.005,,1008,1,,
arm,2016,5/26/2016 16:25,0.002,,1008,1,,
arm,2016,5/26/2016 16:30,0.001,,1008,1,,
arm,2016,5/26/2016 16:35,0.002,,1008,1,,
arm,2016,5/26/2016 16:40,0.001,,1008,1,,
arm,2016,5/26/2016 17:10,0.001,,1008,1,,
arm,2016,5/26/2016 17:45,0.001,,1008,1,,
arm,2016,5/26/2016 17:50,0.001,,1008,1,,
arm,2016,5/26/2016 18:00,0.001,,1008,1,,
arm,2016,5/26/2016 18:05,0.001,,1008,1,,
arm,2016,5/26/2016 18:10,0.001,,1008,1,,
arm,2016,5/26/2016 18:15,0.001,,1008,1,,
arm,2016,5/26/2016 18:20,0.001,,1008,1,,
arm,2016,5/26/2016 18:25,0.001,,1008,1,,
arm,2016,5/26/2016 18:30,0.001,,1008,1,,
arm,2016,5/26/2016 18:35,0.001,,1008,1,,
arm,2016,5/26/2016 18:40,0.001,,1008,1,,
arm,2016,5/26/2016 18:45,0.001,,1008,1,,
arm,2016,5/26/2016 18:50,0.001,,1008,1,,
arm,2016,5/26/2016 18:55,0.001,,1008,1,,
arm,2016,5/26/2016 19:00,0.001,1007,1008,1,,
arm,2016,5/26/2016 19:05,0.001,1007,1008,1,,
arm,2016,5/26/2016 19:10,0.001,1007,1008,1,,
arm,2016,5/26/2016 19:15,0.001,1007,1008,1,,
arm,2016,5/26/2016 19:20,0.001,1007,1008,1,,
arm,2016,5/26/2016 19:25,0.001,1007,1008,1,,
arm,2016,5/27/2016 8:45,0,1007,1008,1,,
arm,2016,5/27/2016 22:55,0.003,,1008,1,,
arm,2016,5/27/2016 23:15,0.001,,1008,1,,
arm,2016,5/27/2016 23:25,0.002,,1008,1,,
arm,2016,5/28/2016 2:45,0.001,,1008,1,,
arm,2016,5/29/2016 2:40,0,,1008,1,,
arm,2016,5/31/2016 11:55,0.001,,,1,,
arm,2016,6/3/2016 20:00,0.001,,,1,,
arm,2016,6/3/2016 20:05,0.001,,,1,,
arm,2016,6/3/2016 20:10,0.001,,,1,,
arm,2016,6/3/2016 20:20,0.001,,,1,,
arm,2016,6/16/2016 8:45,0,,,2,,
arm,2016,6/20/2016 15:30,0.002,,,2,,
arm,2016,6/20/2016 15:35,0.003,,,2,,
arm,2016,6/20/2016 16:10,0.001,,,2,,
arm,2016,6/20/2016 16:15,0.003,,,2,,
arm,2016,6/20/2016 16:20,0.001,,,2,,
arm,2016,6/20/2016 16:30,0.001,,,2,,
arm,2016,6/20/2016 16:50,0.001,,,2,,
arm,2016,6/20/2016 16:55,0.001,,,2,,
arm,2016,6/20/2016 17:00,0.001,,,2,,
arm,2016,6/20/2016 17:05,0.001,,,2,,
arm,2016,6/20/2016 17:10,0.002,,,2,,
arm,2016,6/20/2016 17:20,0.002,,,2,,
arm,2016,6/20/2016 17:25,0.001,,,2,,
arm,2016,6/20/2016 17:30,0.001,,,2,,
arm,2016,6/26/2016 1:50,0.001,,,2,,
arm,2016,6/26/2016 2:05,0.001,,,2,,
arm,2016,6/26/2016 2:10,0.001,,,2,,
arm,2016,6/26/2016 2:15,0.003,,,2,,
arm,2016,6/26/2016 2:20,0.001,,,2,,
arm,2016,6/26/2016 2:30,0.001,,,2,,
arm,2016,6/26/2016 2:35,0.001,,,2,,
arm,2016,6/26/2016 2:40,0.003,,,2,,
arm,2016,6/26/2016 2:45,0.002,,,2,,
arm,2016,6/26/2016 2:50,0.001,,,2,,
arm,2016,6/26/2016 2:55,0.001,,,2,,
arm,2016,6/27/2016 15:15,0.001,,,2,,
arm,2016,6/27/2016 15:20,0.001,,,2,,
arm,2016,6/30/2016 8:45,0,,,2,,
arm,2016,7/2/2016 6:20,0.001,,,,,
arm,2016,7/2/2016 6:25,0.001,,,,,
arm,2016,7/2/2016 6:30,0.001,,,,,
arm,2016,7/2/2016 6:35,0.001,,,,,
arm,2016,7/2/2016 6:40,0.001,,,,,
