SiteID,Year,Treatment,ro_event,tss_sum,ppt_sum
RHO,2018,control,a20,0,0.007
RHO,2018,control,a6,0,0.139
RHO,2018,strips,12,0.05104997,0.011
RHO,2018,strips,12,1.147663074,0.032
RHO,2018,strips,18,0.163211085,0.061
RHO,2018,strips,18,2.147039114,0.076
RHO,2018,strips,20,0.609555825,0.061
RHO,2018,strips,48,1.918764156,0.065
RHO,2018,strips,52,0.436886954,0.065
RHO,2018,strips,54,6.313361012,0.025
RHO,2018,strips,56,2.380078966,0.035
RHO,2018,strips,6,22.9213654,0.139
RHO,2018,strips,60,6.683724289,0.035
RHO,2018,strips,a12,0,0.016
RHO,2018,strips,a122,0,0.024
RHO,2018,strips,a52,0,0.063
RHO,2018,strips,a72,0,0.026
RHO,2018,strips,a90,0,0.013
RHO,2019,control,16,1.144730446,0.039
RHO,2019,control,18,14.30405694,0.039
RHO,2019,control,22,4.955737554,0.028
RHO,2019,control,24,291.3597747,0.068
RHO,2019,control,28,18.29041057,0.068
RHO,2019,control,30,2.061814371,0.068
RHO,2019,control,36,46.54209198,0.008
RHO,2019,control,44,741.9566704,0.053
RHO,2019,control,50,7.440553545,0.019
RHO,2019,control,52,1.671618082,0.019
RHO,2019,control,54,1.643851112,0.03
RHO,2019,control,60,9.672195292,0.052
RHO,2019,control,62,3.635658077,0.027
RHO,2019,control,64,7.982430616,0.011
RHO,2019,strips,18,1.300554589,0.024
RHO,2019,strips,20,15.21977717,0.024
RHO,2019,strips,22,10.16579495,0.028
RHO,2019,strips,24,354.1355998,0.068
RHO,2019,strips,28,35.96576359,0.068
RHO,2019,strips,32,6.898277023,0.008
RHO,2019,strips,38,156.1424876,0.053
RHO,2019,strips,48,4.125419489,0.019
RHO,2019,strips,72,7.011250437,0.052
RHO,2019,strips,74,1.535652498,0.027
RHO,2019,strips,76,5.968015404,0.011
RHO,2019,strips,a18,0,0.015
RHO,2019,strips,a54,0,0.03
RHO,2020,control,10,4.309061969,0.013
RHO,2020,control,12,4.814615496,0.052
RHO,2020,control,14,5.370115201,0.052
RHO,2020,control,16,0.64787989,0.05
RHO,2020,control,18,0.536089065,0.05
RHO,2020,control,4,0.165567784,0.032
RHO,2020,strips,16,3.011980453,0.032
RHO,2020,strips,32,1.967592589,0.052
RHO,2020,strips,a10,0,0.013
WHI,2016,control,47,5.305710561,0.052
WHI,2016,strips,a47,0,0.052
WHI,2018,control,10,36.99383591,0.015
WHI,2018,control,120,45.12562028,0.039
WHI,2018,control,122,9.389230337,0.038
WHI,2018,control,124,36.13553355,0.038
WHI,2018,control,18,16.57610459,0.029
WHI,2018,control,24,30.37875513,0.027
WHI,2018,control,a10,0,0.016
WHI,2018,control,a2,0,0.011
WHI,2018,control,a26,0,0.035
WHI,2018,strips,10,2.124183723,0.016
WHI,2018,strips,16,4.003503058,0.015
WHI,2018,strips,2,1.535907051,0.011
WHI,2018,strips,2,6.255575116,0.015
WHI,2018,strips,22,0.253254207,0.029
WHI,2018,strips,24,0.141992588,0.027
