Year,SiteID,Treatment,tss_sum,rain,wpd,ln_tss,ln_wpd
2016,ARM,control,42.1012469,0.07,147.65246449456976,3.741240542081954,4.994861299514023
2016,ARM,strips,0.097357436,0.07,34.696969696969695,-1.921703457432244,3.54665235452186
2016,EIA,control,11.53258131,0.129,230.74891774891776,2.44941601808973,5.441330183226428
2016,EIA,strips,1.1614653289999999,0.177,262.9050505050505,0.1910048551022702,5.5717929422970345
2016,RHO,control,0.555087436,0.036,130.56139627568197,-0.5040363299348659,4.8718435856721065
2016,RHO,strips,0.211420222,0.036,85.75436908770241,-1.3454587142128298,4.451487036208154
2017,ARM,control,29.005443437,0.161,435.69813422445003,3.369171429845407,6.076949650866006
2017,ARM,strips,0.288743945,0.055,194.0990860990861,-1.0854672297636676,5.268368781761438
2017,RHO,control,192.55488995200002,0.13699999999999998,1247.6404434135718,5.26063569621095,7.1290094011796725
2017,RHO,strips,2.820142097,0.044,238.8938672341553,1.0540130641798473,5.476019383153184
2018,EIA,control,9.730638821,0.082,826.2648462648461,2.2803025529966847,6.716915359252392
2018,EIA,strips,73.88845991,0.082,546.3474862585973,4.30321959952375,6.303255195033528
2018,RHO,control,0.669929716,0.032,2023.5315055315054,-0.32999167847310695,7.612599534015075
2018,RHO,strips,21.517649977,0.171,285.52268718935386,3.071148138974458,5.654321490700218
2018,WHI,control,63.478447179999996,0.07100000000000001,168.7643370105244,4.151472051565373,5.128503286206104
2018,WHI,strips,6.522933576,0.097,472.16364608521474,1.8828080930028244,6.15732563330395
2018,WOR,control,0.0,0.0,1175.433841520798,-3.0159349808715104,7.06939258525702
2018,WOR,strips,0.0,0.0,2344.8331137461573,-3.0159349808715104,7.759969511501911
2019,ARM,control,22.710594108000002,0.136,199.32396489799999,3.1249867755314478,5.294931465338577
2019,ARM,strips,0.736011911,0.024,544.4047057124477,-0.24205638806643354,6.299692914590886
2019,RHO,control,1038.25064305,0.14,2930.095112603446,6.9453396955262425,7.982790163123647
2019,RHO,strips,494.50764963899996,0.14,596.9482510288066,6.2036617039330855,6.391830427941736
2019,WOR,control,47.79828874,0.057,1511.9351011704343,3.8680144546426387,7.3211456333119544
2019,WOR,strips,64.503029156,0.07300000000000001,759.6395151515152,4.167471552212977,6.632843998584974
2020,RHO,control,10.72845325,0.121,402.6086361610171,2.377456289889081,5.997964963946852
2020,RHO,strips,1.759022749,0.052,287.7913670691448,0.5922338443023313,5.6622357977182585
2020,WOR,strips,0.215479064,0.085,258.5305205905206,-1.3299931839356491,5.555013755027436
