"Year","SiteID","rf_event","rain_mm","rain_hr","rf_rate","eventStart","eventEnd"
2016,"ARM",1,8,0.6,13.3333333333333,2016-03-15 01:55:00,2016-03-15 02:30:00
2016,"ARM",2,11,1.01666666666667,10.8196721311475,2016-03-23 17:25:00,2016-03-23 18:25:00
2016,"ARM",3,34,6.01666666666667,5.65096952908587,2016-04-20 05:20:00,2016-04-20 11:20:00
2016,"ARM",4,6,4.01666666666667,1.49377593360996,2016-04-24 18:00:00,2016-04-24 22:00:00
2016,"ARM",5,44,17.9333333333333,2.45353159851301,2016-04-27 00:55:00,2016-04-27 18:50:00
2016,"ARM",6,33,6.01666666666667,5.48476454293629,2016-04-30 03:45:00,2016-04-30 09:45:00
2016,"ARM",7,35,21.2666666666667,1.64576802507837,2016-05-09 02:05:00,2016-05-09 23:20:00
2016,"ARM",8,16,0.766666666666667,20.8695652173913,2016-05-11 08:05:00,2016-05-11 08:50:00
2016,"ARM",9,3,0.1,30,2016-05-24 01:30:00,2016-05-24 01:35:00
2016,"ARM",10,69,40.6833333333333,1.6960262187628,2016-05-25 02:45:00,2016-05-26 19:25:00
2016,"ARM",11,7,3.85,1.81818181818182,2016-05-27 22:55:00,2016-05-28 02:45:00
2016,"ARM",12,4,0.35,11.4285714285714,2016-06-03 20:00:00,2016-06-03 20:20:00
2016,"ARM",13,21,2.01666666666667,10.4132231404959,2016-06-20 15:30:00,2016-06-20 17:30:00
2016,"ARM",14,16,1.1,14.5454545454545,2016-06-26 01:50:00,2016-06-26 02:55:00
2016,"ARM",15,7,4.26666666666667,1.640625,2016-07-02 06:20:00,2016-07-02 10:35:00
2016,"ARM",16,21,3.6,5.83333333333333,2016-07-07 02:05:00,2016-07-07 05:40:00
2016,"ARM",17,29,2.26666666666667,12.7941176470588,2016-07-11 22:20:00,2016-07-12 00:35:00
2016,"ARM",18,56,5.01666666666667,11.1627906976744,2016-07-18 00:50:00,2016-07-18 05:50:00
2016,"ARM",19,9,0.433333333333333,20.7692307692308,2016-07-19 13:10:00,2016-07-19 13:35:00
2016,"ARM",20,7,27.35,0.255941499085923,2016-07-31 05:20:00,2016-08-01 08:40:00
2016,"ARM",21,18,3.18333333333333,5.65445026178011,2016-08-11 20:30:00,2016-08-11 23:40:00
2016,"ARM",22,26,0.683333333333333,38.0487804878049,2016-08-23 23:00:00,2016-08-23 23:40:00
2016,"ARM",23,26,29.7666666666667,0.873460246360583,2016-08-28 17:25:00,2016-08-29 23:10:00
2016,"ARM",24,4,20.9333333333333,0.191082802547771,2016-09-04 14:10:00,2016-09-05 11:05:00
2016,"ARM",25,16,2.51666666666667,6.35761589403974,2016-09-07 08:55:00,2016-09-07 11:25:00
2016,"ARM",26,12,3.1,3.87096774193548,2016-09-09 15:15:00,2016-09-09 18:20:00
2016,"ARM",27,11,16.9333333333333,0.649606299212598,2016-09-13 01:50:00,2016-09-13 18:45:00
2016,"ARM",28,47,2.1,22.3809523809524,2016-09-16 00:15:00,2016-09-16 02:20:00
2016,"ARM",29,51,8.68333333333333,5.87332053742802,2016-10-04 13:50:00,2016-10-04 22:30:00
2016,"ARM",30,8,8.01666666666667,0.997920997920998,2016-10-06 11:30:00,2016-10-06 19:30:00
2016,"ARM",31,14,0.766666666666667,18.2608695652174,2016-11-02 03:55:00,2016-11-02 04:40:00
2016,"ARM",32,11,27.4333333333333,0.40097205346294,2016-07-31 05:15:00,2016-08-01 08:40:00
2016,"ARM",33,37,3.26666666666667,11.3265306122449,2016-08-11 20:30:00,2016-08-11 23:45:00
2017,"ARM",1,22,18.6,1.18279569892473,2017-04-14 12:55:00,2017-04-15 07:30:00
2017,"ARM",2,14,23.9333333333333,0.584958217270195,2017-04-18 08:55:00,2017-04-19 08:50:00
2017,"ARM",3,22,18.35,1.19891008174387,2017-04-30 08:55:00,2017-05-01 03:15:00
2017,"ARM",4,28,4.35,6.4367816091954,2017-05-10 06:50:00,2017-05-10 11:10:00
2017,"ARM",5,50,19.6,2.55102040816327,2017-05-16 20:00:00,2017-05-17 15:35:00
2017,"ARM",6,43,33.9333333333333,1.2671905697446,2017-05-18 22:25:00,2017-05-20 08:20:00
2017,"ARM",7,9,1.18333333333333,7.6056338028169,2017-05-27 09:10:00,2017-05-27 10:20:00
2017,"ARM",8,9,0.183333333333333,49.0909090909091,2017-06-02 03:40:00,2017-06-02 03:50:00
2017,"ARM",9,35,8.68333333333333,4.03071017274472,2017-06-14 00:10:00,2017-06-14 08:50:00
