"SiteID","Year","Treatment","sampleID","tss_sum","ro_count","flow_sum","flow_min","rf_event","rain_mm","rain_hr","rf_rate"
"ARM",2016,"control","1001",12.1158890626351,2,14054.791,4307,5,44,17.9333333333333,2.45353159851301
"ARM",2016,"control","1001",12.1158890626351,2,14054.791,4307,6,33,6.01666666666667,5.48476454293629
"ARM",2016,"control","1006",7.7317910925584,1,13617.388,4641,7,25,5.68333333333333,4.39882697947214
"ARM",2016,"control","1006",7.7317910925584,1,13617.388,4641,8,10,1.6,6.25
"ARM",2016,"control","1006",7.7317910925584,1,13617.388,4641,9,16,0.766666666666667,20.8695652173913
"ARM",2016,"control","1008",42.1012469012697,1,22129.4,5101,12,12,2.01666666666667,5.9504132231405
"ARM",2016,"control","1008",42.1012469012697,1,22129.4,5101,13,51,3.43333333333333,14.8543689320388
"ARM",2016,"control","1008",42.1012469012697,1,22129.4,5101,14,7,3.85,1.81818181818182
"ARM",2016,"control","1016",1.03532812154757,1,4408.917,1106,21,56,5.01666666666667,11.1627906976744
"ARM",2016,"control","1034",0.0022561341222799,1,20.8,26,32,47,2.1,22.3809523809524
"ARM",2016,"strips","1000",0.228433318074387,1,802.293,691,6,33,6.01666666666667,5.48476454293629
"ARM",2016,"strips","1007",0.0973574359165653,1,1604.461,826,13,51,3.43333333333333,14.8543689320388
"EIA",2016,"control","1011",11.5325813146733,1,76336.211,2341,17,129,8.26666666666667,15.6048387096774
"EIA",2016,"control","1020",8.54253176007114,1,58415.639,2071,29,112,14.2666666666667,7.85046728971963
"EIA",2016,"control","1024",2.35905201751408,1,23041.334,1816,32,62,17.85,3.4733893557423
"EIA",2016,"control","1027",0.521034554963325,1,2097.214,756,34,31,2.18333333333333,14.1984732824427
"EIA",2016,"control","1032",2.30228600104709,1,42933.249,1561,35,62,2.35,26.3829787234043
"EIA",2016,"strips","1002",0.020226525786226,1,954.611,1576,6,13,4.43333333333333,2.93233082706767
"EIA",2016,"strips","1009",0.194885020329877,1,4179.549,2486,11,15,0.266666666666667,56.25
"EIA",2016,"strips","1009",0.194885020329877,1,4179.549,2486,12,13,1.1,11.8181818181818
"EIA",2016,"strips","1010",0.742933972006363,1,118876.945,3566,17,129,8.26666666666667,15.6048387096774
"EIA",2016,"strips","1012",0.223646337059571,1,1954.077,1571,19,20,2.26666666666667,8.82352941176471
"EIA",2016,"strips","1015",0.000718083397687206,1,339.15,1526,24,15,1.51666666666667,9.89010989010989
"EIA",2016,"strips","1017",0.213075231462707,2,1436.179,1742,26,21,1.18333333333333,17.7464788732394
"EIA",2016,"strips","1017",0.213075231462707,2,1436.179,1742,28,30,0.766666666666667,39.1304347826087
"EIA",2016,"strips","1019",3.80142254485798,1,101778.842,1656,29,112,14.2666666666667,7.85046728971963
"EIA",2016,"strips","1023",0.199066969548976,1,31307.731,1476,32,62,17.85,3.4733893557423
"EIA",2016,"strips","1026",0.254889480095988,1,9250.862,1556,34,31,2.18333333333333,14.1984732824427
"EIA",2016,"strips","1031",0.987785746035734,1,77675.695,1576,35,62,2.35,26.3829787234043
"EIA",2016,"strips","1036",0.881671266760161,1,6819.468,1621,36,29,3.1,9.35483870967742
"EIA",2016,"strips","1037",0.0402412745772072,1,5712.529,1806,37,19,6.18333333333333,3.07277628032345
"EIA",2016,"strips","1038",0.24721545073041,1,5712.529,1806,37,19,6.18333333333333,3.07277628032345
"HOE",2016,"control","SPL1050",0.535628511710332,1,26.497,481,1,8.64,2.01666666666667,4.28429752066116
"HOE",2016,"control","SPL1050",0.535628511710332,1,26.497,481,2,17.26,2.01666666666667,8.55867768595041
"HOE",2016,"control","SPL1050",0.535628511710332,1,26.497,481,9,93.44,163.016666666667,0.573192925058787
"HOE",2016,"control","SPL1051",4.1518030140632,1,372.238,1441,4,63.99,24.0166666666667,2.66439972241499
"HOE",2016,"control","SPL1051",4.1518030140632,1,372.238,1441,9,93.44,163.016666666667,0.573192925058787
"HOE",2016,"control","SPL1052",1.83508339033948,2,5056.094,2062,6,45,6.76666666666667,6.65024630541872
"HOE",2016,"control","SPL1052",1.83508339033948,2,5056.094,2062,7,13,3.01666666666667,4.30939226519337
"HOE",2016,"control","SPL1053",0.487347441715697,1,1084.536,1331,8,29,6.68333333333333,4.33915211970075
"WHI",2016,"control","1018",4.01195355204057,1,669.637,1761,9,56,14.9333333333333,3.75
"WOR",2016,"control","1025",0.0335283023558345,1,470.253,1091,30,61,13.9333333333333,4.37799043062201
"WOR",2016,"control","1030",3.75612604339564,1,21759.852,1966,34,63,10.85,5.80645161290323
"WOR",2016,"control","1035",0.0981246570454456,1,653.72,511,35,25,7.85,3.18471337579618
"ARM",2017,"control","2007",3.39878569742421,1,813.535,1691,6,28,4.35,6.4367816091954
"ARM",2017,"control","2011",7.96093286982615,1,15942.344,6481,7,50,19.6,2.55102040816327
"ARM",2017,"control","2012",3.28639390422923,1,15942.344,6481,7,50,19.6,2.55102040816327
"ARM",2017,"control","2014",5.82499120293417,1,15942.344,6481,8,19,2.43333333333333,7.80821917808219
"ARM",2017,"control","2014",5.82499120293417,1,15942.344,6481,9,24,10.6833333333333,2.24648985959438
"ARM",2017,"control","2020",0.188160937398134,1,187.058,96,12,35,8.68333333333333,4.03071017274472
"ARM",2017,"control","2022",19.5935055987286,1,16066.336,1666,14,55,0.516666666666667,106.451612903226
"ARM",2017,"strips","2021",0.288743945385142,1,3436.717,576,14,55,0.516666666666667,106.451612903226
"HOE",2017,"control","SPL2050",4.12012080724056,1,2383.903,1096,5,21,1.85,11.3513513513514
"HOE",2017,"control","SPL2051",2.94029038079832,1,1341.035,3296,7,23,19.0166666666667,1.20946538124452
"HOE",2017,"control","SPL2052",2.49819909977022,1,13551.175,2131,8,23,11.6,1.98275862068966
"HOE",2017,"control","SPL2053",12.0926776507704,1,6132.195,1766,12,51,5.6,9.10714285714286
"HOE",2017,"control","SPL2054",10.3028263342533,1,1318.782,1606,16,58.92,5.01666666666667,11.7448504983389
"ARM",2018,"control","3046",0.0582999336016813,1,421.114,181,26,20,8.26666666666667,2.41935483870968
"ARM",2018,"control","3047",0.252267489364369,1,5056.601,1276,28,22,18.6,1.18279569892473
"ARM",2018,"control","3048",0.133860527827472,1,5056.601,1276,28,22,18.6,1.18279569892473
"ARM",2018,"control","3075",0.123350904716954,1,5369.519,1516,34,22,13.5166666666667,1.62762022194821
"EIA",2018,"control","3012",9.73063882063219,1,25590.214,2351,9,26,1.01666666666667,25.5737704918033
