"Year","SiteID","Treatment","sampleID","tss_sum"
2018,"MCN","strips","3079",49.1054096415476
2018,"RHO","control","3008",0.330706158478524
2018,"RHO","control","3024",0.669929715992247
2018,"RHO","control","3029",56.4884275686161
2018,"RHO","control","3038",19.2259332306304
2018,"RHO","control","3042",3.82862032315501
2018,"RHO","control","3045",0.274309817386585
2018,"RHO","control","3054",23.3975948070816
2018,"RHO","control","3062",9.70057108206891
2018,"RHO","control","3066",3.36185234049544
2018,"RHO","control","3074",5.78378836519256
2018,"RHO","strips","3017",20.4916421180368
2018,"RHO","strips","3021",1.02600785708114
2018,"RHO","strips","3023",0.0456385426250527
2018,"RHO","strips","3028",1.91944748338228
2018,"RHO","strips","3037",0.690851643890081
2018,"RHO","strips","3040",0.0524449860504518
2018,"RHO","strips","3053",2.10594607480324
2018,"RHO","strips","3061",5.64412861845175
2018,"RHO","strips","3065",8.10301695918445
2018,"WHI","control","3077",34.4238978199338
2018,"WHI","control","3203",13.1042064136527
2018,"WHI","control","3205",27.9731714911859
2018,"WHI","control","3207",12.5341480501535
2018,"WHI","control","3210",22.9711276445965
2018,"WHI","control","3213",34.1220823293466
2018,"WHI","strips","3076",18.1150402239322
2018,"WHI","strips","3200",6.25557511575303
2018,"WHI","strips","3201",1.53590705073587
2018,"WHI","strips","3202",2.12418372290658
2018,"WHI","strips","3204",0.436901311567174
2018,"WHI","strips","3206",4.00350305818338
2018,"WHI","strips","3208",0.253254207298855
2018,"WHI","strips","3209",0.141992587885767
2018,"WHI","strips","3211",0.815306232696538
2018,"WHI","strips","3212",29.2570614545028
2018,"WOR","control","3000",0.982909019897727
2018,"WOR","control","3016",48.221966696662
2018,"WOR","control","3019",0.972791461815928
2018,"WOR","control","3027",1.37091891757819
2018,"WOR","control","3030",1.01013192150777
2018,"WOR","control","3035",0.0506541823847211
2018,"WOR","control","3039",9.85081698944991
2018,"WOR","control","3044",0.0025651067804112
2018,"WOR","control","3056",14.9026031081138
2018,"WOR","control","3064",1.37656176539526
2018,"WOR","control","3068",6.66908990592195
2018,"WOR","strips","3015",94.6749087720097
2018,"WOR","strips","3041",0.771992008340905
2018,"WOR","strips","3043",0.911327666660928
2018,"WOR","strips","3055",23.6932590049852
2018,"WOR","strips","3063",2.89569817383675
2018,"WOR","strips","3067",10.4477093031983
2019,"ARM","control","4013",1.48272326644871
2019,"ARM","control","4017",5.74680398232509
2019,"ARM","control","4043",15.4810668626872
2019,"ARM","control","4051",1.18001231363973
2019,"ARM","control","4053",2.39459749107121
2019,"ARM","control","4056",2.05711826360084
2019,"ARM","control","4063",0.389374332275246
2019,"ARM","control","4065",0.468899042380095
2019,"ARM","strips","4016",0.736011911358148
2019,"HOE","control","SPL4300",4.45334395096679
2019,"HOE","strips","SPL4301",3.35414508039793
2019,"MAR","control","4021",10.0958513008753
2019,"MAR","control","4027",1.29315031210906
2019,"MAR","strips","4022",140.853022136687
2019,"MCN","control","4000",0.601252461935857
2019,"MCN","control","4008",2.89805833203838
2019,"MCN","control","4025",119.884138515652
2019,"MCN","control","4036",6.30511901775129
2019,"MCN","control","4044",0.0764935653366969
2019,"MCN","control","4047",0.526886779806274
2019,"MCN","control","4054",7.37328866495141
2019,"MCN","strips","4001",0.411935845661908
2019,"MCN","strips","4002",0.0309125991921663
2019,"MCN","strips","4003",0.0198244842227145
2019,"MCN","strips","4006",0.0828446954236255
2019,"MCN","strips","4009",4.92448942552807
2019,"MCN","strips","4026",269.626676235087
2019,"MCN","strips","4035",2.19217188331453
2019,"MCN","strips","4037",23.4768042888184
2019,"MCN","strips","4045",0.0961237240963444
2019,"MCN","strips","4048",14.7086505656284
2019,"MCN","strips","4052",0.0129447158642155
2019,"MCN","strips","4055",7.47692394423194
2019,"MCN","strips","4058",9.04952026712979
2019,"MCN","strips","4070",9.17423351221523
2019,"MCN","strips","4071",0.0690231302113642
2019,"RHO","control","4005",14.5787643490453
2019,"RHO","control","4011",4.67664731118437
2019,"RHO","control","4024",294.15744259751
2019,"RHO","control","4029",43.9210000457035
2019,"RHO","control","4034",700.172200385165
2019,"RHO","control","4039",7.02152693702401
2019,"RHO","control","4042",1.57747825129893
2019,"RHO","control","4046",1.55127502195214
2019,"RHO","control","4060",9.12749022983206
2019,"RHO","control","4062",3.43091020935341
2019,"RHO","control","4069",7.53288733972722
2019,"RHO","strips","4004",14.769134393933
2019,"RHO","strips","4010",9.08819471842917
2019,"RHO","strips","4023",348.749622474108
2019,"RHO","strips","4028",6.16704203887724
2019,"RHO","strips","4033",139.590985051125
2019,"RHO","strips","4038",3.68811448557838
2019,"RHO","strips","4059",6.26803998202709
2019,"RHO","strips","4061",1.37286941060136
2019,"RHO","strips","4068",5.33539052701215
2019,"WHI","control","4020",1.64458786144733
2019,"WHI","control","4050",3.42684082920825
2019,"WHI","strips","4012",1.5890170578376
2019,"WHI","strips","4019",8.42003771629679
2019,"WHI","strips","4049",5.81765840982769
2019,"WHI","strips","4064",0.0529971370638448
2019,"WHI","strips","4066",14.250253469056
2019,"WOR","control","4015",47.7982887380542
2019,"WOR","control","4032",0.917461044068493
2019,"WOR","control","4041",0.805512681756483
2019,"WOR","strips","4007",0.0996448362428535
2019,"WOR","strips","4014",64.403384315248
2019,"WOR","strips","4031",13.3426381808951
2019,"WOR","strips","4040",6.03220825592761
2019,"WOR","strips","4072",0.197521148159153
2020,"HOE","control","5007",18.7083532739465
2020,"MAR","control","5010",0.786325210324392
2020,"MAR","strips","5011",80.8699000928231
2020,"MAR","strips","5015",3.14126260713032
2020,"MCN","control","5001",0.421450329774494
2020,"MCN","strips","5000",0.263338131010717
2020,"MCN","strips","5002",47.5299835055599
2020,"MCN","strips","5003",2.7178237243008
2020,"MCN","strips","5009",43.8148675208095
2020,"MCN","strips","5012",20.1856642878447
2020,"MCN","strips","5019",7.68592712630851
2020,"RHO","control","5006",0.156243570877455
2020,"RHO","control","5013",4.06639029032261
2020,"RHO","control","5017",9.61116138886553
2020,"RHO","control","5020",1.11729186082972
2020,"RHO","strips","5005",2.69270283140748
2020,"RHO","strips","5016",1.75902274870996
2020,"WOR","strips","5008",0.215479063710698
2021,"HOE","control","6011",0.0551990573516855
2021,"MCN","control","6000",8.05195728640825
2021,"MCN","control","6004",0.201617394189148
2021,"MCN","control","6006",1.32859183247014
2021,"MCN","control","6009",12.5096774317156
2021,"MCN","strips","6001",0.197857488115423
2021,"MCN","strips","6005",0.910299027967221
2021,"MCN","strips","6007",3.70871098735633
2021,"MCN","strips","6010",22.2315342738239
2021,"RHO","control","6003",24.6527555221502
2021,"RHO","control","6008",5.73086256747399
2021,"RHO","strips","6002",5.26967387045233
