SiteID,precipitation,rain_time,sampleID,subtreatment,Treatment,rf_event,Year,flow_time,ro_event,flow,tss_sum
MCN,0.013,131,4026,prairie strip,strips,38,2019,NA,NA,NA,NA
MCN,0.016,186,4035,prairie strip,strips,46,2019,NA,NA,NA,NA
MCN,0.024,281,4036,control,control,48,2019,NA,NA,NA,NA
MCN,0.024,281,4037,prairie strip,strips,48,2019,NA,NA,NA,NA
MCN,0.05,86,4044,control,control,52,2019,NA,NA,NA,NA
MCN,0.05,86,4045,prairie strip,strips,52,2019,NA,NA,NA,NA
MCN,0.048,81,4047,control,control,60,2019,NA,NA,NA,NA
MCN,0.048,81,4048,prairie strip,strips,60,2019,NA,NA,NA,NA
MCN,0.009,376,4052,prairie strip,strips,70,2019,NA,NA,NA,NA
MCN,0.015,286,4058,prairie strip,strips,74,2019,NA,NA,NA,NA
MCN,0.013,346,4058,prairie strip,strips,76,2019,NA,NA,NA,NA
MCN,0.023,681,4070,prairie strip,strips,80,2019,NA,NA,NA,NA
MCN,0.01,296,4071,prairie strip,strips,82,2019,NA,NA,NA,NA
MCN,0.008,511,5000,prairie strip,strips,2,2020,NA,NA,NA,NA
MCN,0.057,111,5001,control,control,8,2020,NA,NA,NA,NA
MCN,0.057,111,5002,prairie strip,strips,8,2020,NA,NA,NA,NA
MCN,0.013,76,5003,prairie strip,strips,10,2020,NA,NA,NA,NA
MCN,0.011,41,5009,prairie strip,strips,16,2020,NA,NA,NA,NA
MCN,0.009,11,5009,prairie strip,strips,18,2020,NA,NA,NA,NA
MCN,0.015,31,5012,prairie strip,strips,20,2020,NA,NA,NA,NA
MCN,0.039,631,5019,prairie strip,strips,26,2020,NA,NA,NA,NA
RHO,0.036,191,1014,control,control,28,2016,NA,NA,NA,NA
RHO,0.036,191,1013,prairie strip,strips,28,2016,NA,NA,NA,NA
RHO,0.046,591,1021,control,control,58,2016,NA,NA,NA,NA
RHO,0.029,201,1028,control,control,72,2016,NA,NA,NA,NA
RHO,0.015,251,1033,control,control,76,2016,NA,NA,NA,NA
RHO,0.013,106,1039,control,control,86,2016,NA,NA,NA,NA
RHO,0.014,196,2006,prairie strip,strips,18,2017,NA,NA,NA,NA
RHO,0.029,491,2010,control,control,20,2017,NA,NA,NA,NA
RHO,0.013,11,2013,control,control,22,2017,NA,NA,NA,NA
RHO,0.025,166,2013,control,control,26,2017,NA,NA,NA,NA
RHO,0.013,101,2016,control,control,28,2017,NA,NA,NA,NA
RHO,0.017,36,2019,control,control,32,2017,NA,NA,NA,NA
RHO,0.017,36,2018,prairie strip,strips,32,2017,NA,NA,NA,NA
RHO,0.027,31,2026,control,control,36,2017,NA,NA,NA,NA
RHO,0.027,31,2025,prairie strip,strips,36,2017,NA,NA,NA,NA
RHO,0.018,246,2027,control,control,78,2017,NA,NA,NA,NA
RHO,0.034,536,2027,control,control,80,2017,NA,NA,NA,NA
RHO,0.019,556,2027,control,control,84,2017,NA,NA,NA,NA
ARM,0.056,301,1016,prairie strip,strips,48,2016,0,NA,0,0
ARM,0.047,126,1034,prairie strip,strips,80,2016,0,NA,0,0
ARM,0.028,261,2007,prairie strip,strips,22,2017,0,NA,0,0
ARM,0.019,146,2014,prairie strip,strips,26,2017,0,NA,0,0
ARM,0.024,641,2014,prairie strip,strips,28,2017,0,NA,0,0
ARM,0.035,521,2020,prairie strip,strips,38,2017,0,NA,0,0
ARM,0.02,496,3046,prairie strip,strips,72,2018,0,NA,0,0
ARM,0.018,646,3048,prairie strip,strips,78,2018,0,NA,0,0
ARM,0.021,96,3075,prairie strip,strips,98,2018,0,NA,0,0
ARM,0.052,456,4013,prairie strip,strips,24,2019,0,NA,0,0
ARM,0.06,101,4043,prairie strip,strips,52,2019,0,NA,0,0
ARM,0.064,696,4051,prairie strip,strips,86,2019,0,NA,0,0
ARM,0.029,151,4053,prairie strip,strips,88,2019,0,NA,0,0
ARM,0.048,456,4056,prairie strip,strips,94,2019,0,NA,0,0
ARM,0.014,36,4063,prairie strip,strips,98,2019,0,NA,0,0
ARM,0.015,166,4065,prairie strip,strips,102,2019,0,NA,0,0
EIA,0.013,266,1002,control,control,22,2016,0,NA,0,0
EIA,0.015,16,1009,control,control,44,2016,0,NA,0,0
EIA,0.013,66,1009,control,control,46,2016,0,NA,0,0
EIA,0.02,136,1012,control,control,64,2016,0,NA,0,0
EIA,0.015,91,1015,control,control,74,2016,0,NA,0,0
EIA,0.029,186,1036,control,control,108,2016,0,NA,0,0
EIA,0.032,391,3051,control,control,80,2018,0,NA,0,0
EIA,0.017,281,3060,prairie strip,strips,82,2018,0,NA,0,0
HOE,0.00864,121,SPL1051,prairie strip,strips,2,2016,0,NA,0,0
HOE,0.01726,121,SPL1051,prairie strip,strips,4,2016,0,NA,0,0
HOE,0.06399,961,SPL1052,prairie strip,strips,8,2016,0,NA,0,0
HOE,0.029,401,SPL1054,prairie strip,strips,18,2016,0,NA,0,0
HOE,0.021,111,SPL2051,prairie strip,strips,10,2017,0,NA,0,0
HOE,0.011,201,SPL2052,prairie strip,strips,18,2017,0,NA,0,0
HOE,0.023,696,SPL2053,prairie strip,strips,20,2017,0,NA,0,0
HOE,0.051,336,SPL2054,prairie strip,strips,36,2017,0,NA,0,0
HOE,0.05892,301,SPL2055,prairie strip,strips,50,2017,0,NA,0,0
HOE,0.037,356,SPL3301,prairie strip,strips,8,2018,0,NA,0,0
HOE,0.08,956,SPL3302,prairie strip,strips,12,2018,0,NA,0,0
HOE,0.0726,2701,SPL3310,prairie strip,strips,34,2018,0,NA,0,0
HOE,0.06932,3421,SPL3311,prairie strip,strips,36,2018,0,NA,0,0
HOE,0.049,946,5007,prairie strip,strips,2,2020,0,NA,0,0
MAR,0.046,231,3036,prairie strip,strips,16,2018,0,NA,0,0
MAR,0.019,501,3073,prairie strip,strips,54,2018,0,NA,0,0
MAR,0.014,46,4027,prairie strip,strips,42,2019,0,NA,0,0
MAR,0.021,211,5015,prairie strip,strips,24,2020,0,NA,0,0
MAR,0.021,211,5015,control,control,24,2020,0,NA,0,0
RHO,0.016,86,3008,prairie strip,strips,10,2018,0,NA,0,0
RHO,0.139,381,3017,control,control,20,2018,0,NA,0,0
RHO,0.021,66,3021,prairie strip,strips,24,2018,0,NA,0,0
RHO,0.03,121,3042,prairie strip,strips,50,2018,0,NA,0,0
RHO,0.033,151,3042,prairie strip,strips,52,2018,0,NA,0,0
RHO,0.019,366,3045,prairie strip,strips,58,2018,0,NA,0,0
RHO,0.007,116,3045,prairie strip,strips,60,2018,0,NA,0,0
RHO,0.012,271,3045,prairie strip,strips,64,2018,0,NA,0,0
RHO,0.026,406,3054,prairie strip,strips,72,2018,0,NA,0,0
RHO,0.013,166,3054,prairie strip,strips,74,2018,0,NA,0,0
RHO,0.008,241,3074,prairie strip,strips,98,2018,0,NA,0,0
RHO,0.016,76,3074,prairie strip,strips,102,2018,0,NA,0,0
RHO,0.03,51,4046,prairie strip,strips,68,2019,0,NA,0,0
RHO,0.022,86,5020,prairie strip,strips,40,2020,0,NA,0,0
RHO,0.008,41,5020,prairie strip,strips,42,2020,0,NA,0,0
RHO,0.02,366,5020,prairie strip,strips,44,2020,0,NA,0,0
WHI,0.052,291,1018,prairie strip,strips,22,2016,0,NA,0,0
WHI,0.015,26,3200,control,control,10,2018,0,NA,0,0
WHI,0.011,96,3201,control,control,12,2018,0,NA,0,0
WHI,0.016,1,3202,control,control,28,2018,0,NA,0,0
WHI,0.035,161,3211,control,control,74,2018,0,NA,0,0
WHI,0.017,546,4064,control,control,84,2019,0,NA,0,0
WHI,0.031,96,4066,control,control,86,2019,0,NA,0,0
WHI,0.042,626,4066,control,control,88,2019,0,NA,0,0
WOR,0.061,836,1025,prairie strip,strips,82,2016,0,NA,0,0
WOR,0.059,201,1030,prairie strip,strips,92,2016,0,NA,0,0
WOR,0.025,471,1035,prairie strip,strips,96,2016,0,NA,0,0
WOR,0.023,411,3000,prairie strip,strips,8,2018,0,NA,0,0
WOR,0.016,316,4007,control,control,28,2019,0,NA,0,0
WOR,0.036,391,4072,control,control,128,2019,0,NA,0,0
WOR,0.024,46,5008,control,control,20,2020,0,NA,0,0
