"Year","SiteID","Treatment","sampleID","ro_event","tss_sum","flow_sum","flow_min","ro_count"
2018,"HOE","strips","SPL3307",10,3.53794378010502,45926.228,771,1
2018,"HOE","strips","SPL3311",16,12.7168681350894,88518.424,906,1
2018,"RHO","control","3008",2,0.330706158478524,758.573,506,1
2018,"RHO","control","3024",4,0.669929715992247,8754.961,3796,1
2018,"RHO","control","3029",8,56.4884275686161,40930.402,2331,1
2018,"RHO","control","3038",8,0.928234972304685,40930.402,2331,1
2018,"RHO","control","3038",10,18.2976982583257,35798.979,1846,1
2018,"RHO","control","3042",18,3.82862032315501,8033.684,3696,1
2018,"RHO","control","3045",22,0.251475015709336,959.682,2361,1
2018,"RHO","control","3045",26,0.0228348016772489,83.642,771,1
2018,"RHO","control","3054",30,23.3975948070816,36056.416,6186,1
2018,"RHO","control","3062",32,9.70057108206891,19228.113,5106,1
2018,"RHO","control","3066",32,0.561593865076352,19228.113,5106,1
2018,"RHO","control","3066",34,2.80025847541909,6835.727,576,1
2018,"RHO","control","3074",40,0.346093740912459,529.246,1441,1
2018,"RHO","control","3074",42,5.4376946242801,8315.314,2096,1
2018,"RHO","strips","3017",6,20.4916421180368,15755.143,1206,1
2018,"RHO","strips","3021",10,1.02600785708114,2520.362,1066,1
2018,"RHO","strips","3023",10,0.0456385426250527,2520.362,1066,1
2018,"RHO","strips","3028",16,1.91944748338228,14650.939,1881,1
2018,"RHO","strips","3037",16,0.145910293530309,14650.939,1881,1
2018,"RHO","strips","3037",18,0.544941350359773,9258.3,1036,1
2018,"RHO","strips","3040",20,0.0524449860504518,125.991,41,1
2018,"RHO","strips","3053",34,1.71537025402951,5913.671,586,1
2018,"RHO","strips","3053",38,0.390575820773729,1961.964,1361,1
2018,"RHO","strips","3061",40,5.64412861845175,4323.81,1716,1
2018,"RHO","strips","3065",42,2.12778451666295,1261.667,1001,1
2018,"RHO","strips","3065",44,5.9752324425215,3528.499,1516,1
2018,"WHI","control","3077",40,7.09973821071838,3457.227,156,1
2018,"WHI","control","3077",42,27.3241596092154,13306.934,656,1
2018,"WHI","control","3203",4,13.1042064136527,4992.789,191,1
2018,"WHI","control","3205",8,27.9731714911859,17555.539,1496,1
2018,"WHI","control","3207",12,12.5341480501535,15888.063,1876,1
2018,"WHI","control","3210",14,22.9711276445965,15510.971,1476,1
2018,"WHI","control","3213",38,34.1220823293466,11937.446,91,1
2018,"WHI","strips","3076",22,0.527181329951598,9464.307,871,1
2018,"WHI","strips","3076",24,17.5878588939806,12523.72,656,1
2018,"WHI","strips","3200",2,6.25557511575303,3958.067,576,1
2018,"WHI","strips","3201",2,1.53590705073587,3958.067,576,1
2018,"WHI","strips","3202",8,2.12418372290658,23983.284,856,1
2018,"WHI","strips","3204",8,0.436901311567174,23983.284,856,1
2018,"WHI","strips","3206",12,4.00350305818338,17500.742,321,1
2018,"WHI","strips","3208",14,0.253254207298855,3605.013,476,1
2018,"WHI","strips","3209",16,0.141992587885767,2557.92,61,1
2018,"WHI","strips","3211",18,0.815306232696538,1173.609,81,1
2018,"WHI","strips","3212",20,29.2570614545028,22808.552,111,1
2018,"WOR","control","3000",2,0.982909019897727,5566.28,831,1
2018,"WOR","control","3056",10,11.4517899924204,27778.088,4746,1
2018,"WOR","control","3056",12,3.45081311569343,8322.151,1836,1
2018,"WOR","control","3064",14,1.37656176539526,8580.907,136,1
2018,"WOR","control","3068",16,6.66908990592195,17517.722,621,1
2018,"WOR","strips","3043",8,0.799602709835987,500.603,1861,1
2018,"WOR","strips","3055",18,19.9187297201244,40030.336,831,1
2018,"WOR","strips","3055",22,3.17766555305497,6386.101,206,1
2018,"WOR","strips","3055",24,0.596863731805731,1201.873,461,1
2018,"WOR","strips","3063",28,2.89569817383675,8615.366,226,1
2018,"WOR","strips","3067",32,10.4477093031983,21482.993,856,1
2019,"ARM","control","4013",6,1.48272326644871,681.16,661,1
2019,"ARM","control","4017",12,5.74680398232509,2623.566,1161,1
2019,"ARM","control","4043",22,15.4810668626872,452.92,461,1
2019,"ARM","control","4051",26,1.18001231363973,725.6,676,1
2019,"ARM","control","4053",28,2.39459749107121,3036.538,71,1
2019,"ARM","control","4056",32,2.05711826360084,6322.056,1416,1
2019,"ARM","control","4063",34,0.389374332275246,1455.414,216,1
2019,"ARM","control","4065",36,0.468899042380095,1428.299,796,1
2019,"ARM","strips","4016",8,0.736011911358148,4437.795,656,1
2019,"HOE","control","SPL4300",9,4.45334395096679,18533.064,118191,1
2019,"HOE","strips","SPL4301",2,3.35414508039793,15798.13,541,1
2019,"RHO","control","4005",12,1.08026313041029,28.405,701,1
2019,"RHO","control","4005",14,13.498501218635,269.517,846,1
2019,"RHO","control","4011",16,4.67664731118437,3381.426,461,1
2019,"RHO","control","4024",18,274.951385575468,10573.189,631,1
2019,"RHO","control","4024",22,19.2060570220422,738.565,701,1
2019,"RHO","control","4029",26,43.9210000457035,1267.97,3316,1
2019,"RHO","control","4034",30,700.172200385165,39638.763,3771,1
2019,"RHO","control","4039",36,7.02152693702401,1744.423,2211,1
2019,"RHO","control","4042",36,1.57747825129893,1744.423,2211,1
2019,"RHO","control","4046",38,1.55127502195214,284.601,51,1
2019,"RHO","control","4060",42,9.12749022983206,7623.591,3586,1
2019,"RHO","control","4062",44,3.43091020935341,4137.033,1646,1
2019,"RHO","control","4069",46,7.53288733972722,6055.452,131,1
2019,"RHO","strips","4004",14,1.16269248070794,244.87,866,1
2019,"RHO","strips","4004",16,13.6064419132251,2794.517,756,1
2019,"RHO","strips","4010",18,9.08819471842917,3238.151,586,1
2019,"RHO","strips","4023",20,316.59632169447,7660.874,521,1
2019,"RHO","strips","4023",24,32.1533007796386,888.548,656,1
2019,"RHO","strips","4028",28,6.16704203887724,252.014,101,1
2019,"RHO","strips","4033",32,139.590985051125,5592.628,3691,1
2019,"RHO","strips","4038",38,3.68811448557838,410.733,531,1
2019,"RHO","strips","4059",50,6.26803998202709,3695.449,3586,1
2019,"RHO","strips","4061",52,1.37286941060136,1554.822,1666,1
2019,"RHO","strips","4068",54,5.33065833445613,464.757,2121,1
2019,"WHI","control","4020",2,1.5974277825553,237.448,6241,1
2019,"WHI","control","4050",4,3.42684082920825,4483.814,111,1
2019,"WHI","strips","4012",2,1.5890170578376,760.283,9001,1
2019,"WHI","strips","4019",2,8.37491083355311,760.283,9001,1
2019,"WHI","strips","4049",8,5.81765840982769,13551.214,106,1
2019,"WHI","strips","4064",14,0.0529971370638448,587.591,86,1
2019,"WHI","strips","4066",16,14.250253469056,31719.929,1291,1
2019,"WOR","control","4015",4,47.7982887380542,23770.585,546,1
2019,"WOR","control","4032",10,0.917461044068493,1169.809,486,1
2019,"WOR","control","4041",16,0.805512681756483,6841.219,2421,1
2019,"WOR","strips","4007",12,0.0996448362428535,184.262,61,1
2019,"WOR","strips","4014",14,64.403384315248,34544.681,986,1
2019,"WOR","strips","4031",22,13.3426381808951,5039.6,556,1
2019,"WOR","strips","4040",30,6.03220825592761,14950.446,741,1
2019,"WOR","strips","4072",64,0.197521148159153,1095.795,1161,1
2020,"HOE","control","5007",2,18.7083532739465,6281.642,1526,1
2020,"RHO","control","5006",4,0.156243570877455,5091.656,1481,1
2020,"RHO","control","5013",10,4.06639029032261,342.835,26,1
2020,"RHO","control","5017",12,4.54347276668058,2085.566,141,1
2020,"RHO","control","5017",14,5.06768862218495,2327.317,371,1
2020,"RHO","control","5020",16,0.611393503890438,480.141,1391,1
2020,"RHO","control","5020",18,0.505898356939285,185.925,626,1
2020,"RHO","strips","5005",10,2.69270283140748,354.509,106,1
2020,"RHO","strips","5016",18,1.75902274870996,1261.998,1731,1
2020,"WOR","strips","5008",6,0.215479063710698,278.536,61,1
2021,"HOE","control","6011",44,0.0551990573516855,630.489,796,1
2021,"MCN","control","6000",2,8.05195728640825,2180.942,286,1
2021,"MCN","control","6004",16,0.201617394189148,239.915,226,1
2021,"MCN","control","6006",18,1.32859183247014,21103.183,1446,1
2021,"MCN","control","6009",20,12.5096774317156,27780.232,1641,1
2021,"MCN","strips","6001",2,0.197857488115423,1258.642,356,1
2021,"MCN","strips","6005",12,0.910299027967221,3671.541,316,1
2021,"MCN","strips","6007",14,3.70871098735633,25017.192,1106,1
2021,"MCN","strips","6010",16,22.2315342738239,42031.947,1641,1
2021,"RHO","control","6003",2,24.6527555221502,3056.672,1456,1
2021,"RHO","control","6008",8,5.73086256747399,7402.286,91,1
2021,"RHO","strips","6002",2,5.26967387045233,589.492,386,1
