"SiteID","Treatment","Year","eventid","flow","eventStart","eventEnd","flow_time"
"ARM","control",2017,6,92.776,2017-04-18 09:20:00,2017-04-18 13:05:00,226
"ARM","control",2017,8,1.981,2017-04-19 10:10:00,2017-04-19 12:55:00,166
"ARM","control",2017,10,521.72,2017-04-30 09:00:00,2017-05-02 20:20:00,3561
"ARM","control",2017,12,107.918,2017-05-03 10:35:00,2017-05-03 18:05:00,451
"ARM","control",2017,14,55.363,2017-05-04 11:05:00,2017-05-04 18:00:00,416
"ARM","control",2017,16,2.482,2017-05-05 10:40:00,2017-05-05 14:35:00,236
"ARM","control",2017,18,1053.45,2017-05-10 06:55:00,2017-05-11 20:40:00,2266
"ARM","control",2017,20,84.457,2017-05-12 11:15:00,2017-05-12 18:45:00,451
"ARM","control",2017,22,6.829,2017-05-13 09:40:00,2017-05-13 11:20:00,101
"ARM","control",2017,24,16019.967,2017-05-16 20:15:00,2017-05-22 12:55:00,8201
"ARM","control",2017,26,818.832,2017-05-27 10:00:00,2017-05-28 16:55:00,1856
"ARM","control",2017,28,13.775,2017-05-29 10:15:00,2017-05-29 13:05:00,171
"ARM","control",2017,30,62.927,2017-06-02 03:55:00,2017-06-02 14:40:00,646
"ARM","control",2017,32,4.391,2017-06-03 10:30:00,2017-06-03 11:30:00,61
"ARM","control",2017,34,2.081,2017-06-04 11:50:00,2017-06-04 12:00:00,11
"ARM","control",2017,36,187.058,2017-06-14 08:10:00,2017-06-14 09:45:00,96
"ARM","control",2017,38,16227.983,2017-06-16 17:30:00,2017-06-18 17:50:00,2901
"ARM","control",2017,40,33.17,2017-06-19 11:15:00,2017-06-19 13:20:00,126
"ARM","control",2017,42,46.505,2017-10-08 12:10:00,2017-10-08 15:00:00,171
"ARM","control",2017,44,14.363,2017-10-18 13:30:00,2017-10-18 14:05:00,36
"ARM","control",2017,46,118868084.682,2017-10-31 04:10:00,2017-10-31 10:30:00,381
"ARM","control",2018,1,9.967,2018-04-24 14:00:00,2018-04-24 15:55:00,116
"ARM","control",2018,3,3.913,2018-04-24 16:45:00,2018-04-24 19:05:00,141
"ARM","control",2018,5,31.341,2018-05-02 20:10:00,2018-05-03 19:20:00,1391
"ARM","control",2018,7,27.622,2018-06-02 01:55:00,2018-06-02 08:35:00,401
"ARM","control",2018,9,1612.401,2018-06-10 07:20:00,2018-06-12 03:05:00,2626
"ARM","control",2018,11,251.312,2018-06-19 04:50:00,2018-06-19 14:20:00,571
"ARM","control",2018,13,14.749,2018-06-21 21:25:00,2018-06-22 08:50:00,686
"ARM","control",2018,15,421.114,2018-09-02 05:25:00,2018-09-02 08:25:00,181
"ARM","control",2018,17,129.87,2018-09-03 02:30:00,2018-09-03 06:25:00,236
"ARM","control",2018,19,5056.601,2018-09-04 15:15:00,2018-09-05 12:30:00,1276
"ARM","control",2018,21,75.582,2018-09-07 05:40:00,2018-09-07 08:15:00,156
"ARM","control",2018,23,5369.519,2018-10-08 17:15:00,2018-10-09 18:30:00,1516
"ARM","control",2019,2,704296.353,2019-04-10 23:35:00,2019-04-12 10:40:00,2106
"ARM","control",2019,4,49487218.115,2019-04-13 02:55:00,2019-04-13 08:45:00,351
"ARM","control",2019,6,4.544,2019-05-21 12:55:00,2019-05-21 19:05:00,371
"ARM","control",2019,8,681.16,2019-05-23 23:40:00,2019-05-24 10:40:00,661
"ARM","control",2019,10,6.683,2019-05-26 02:55:00,2019-05-26 04:40:00,106
"ARM","control",2019,12,4.329,2019-05-27 05:50:00,2019-05-27 09:10:00,201
"ARM","control",2019,14,2623.566,2019-05-28 03:20:00,2019-05-28 22:40:00,1161
"ARM","control",2019,16,69.939,2019-06-03 13:50:00,2019-06-04 03:45:00,836
"ARM","control",2019,18,1251.634,2019-06-18 16:25:00,2019-06-21 12:50:00,4106
"ARM","control",2019,20,0.035,2019-06-22 13:10:00,2019-06-22 13:10:00,1
"ARM","control",2019,22,452.92,2019-07-16 06:45:00,2019-07-16 14:25:00,461
"ARM","control",2019,24,25.06,2019-09-19 15:25:00,2019-09-19 18:35:00,191
"ARM","control",2019,26,725.6,2019-09-21 22:45:00,2019-09-22 10:00:00,676
"ARM","control",2019,28,3036.538,2019-09-24 22:55:00,2019-09-25 00:05:00,71
"ARM","control",2019,30,172.395,2019-09-29 15:20:00,2019-09-30 11:50:00,1231
"ARM","control",2019,32,6322.056,2019-10-01 17:35:00,2019-10-02 17:10:00,1416
"ARM","control",2019,34,1455.414,2019-10-05 08:15:00,2019-10-05 11:50:00,216
"ARM","control",2019,36,1428.299,2019-10-10 04:25:00,2019-10-10 17:40:00,796
"ARM","control",2019,38,142851.149,2019-10-12 04:35:00,2019-10-12 09:15:00,281
"ARM","control",2019,40,703.427,2019-10-14 06:10:00,2019-10-14 09:00:00,171
"ARM","control",2020,2,5.917,2020-03-24 15:00:00,2020-03-24 17:50:00,171
"ARM","control",2020,4,0.124,2020-03-24 18:00:00,2020-03-24 18:10:00,11
"ARM","control",2020,6,0.251,2020-03-24 18:20:00,2020-03-24 18:40:00,21
"ARM","control",2020,8,98.667,2020-05-16 21:45:00,2020-05-17 19:45:00,1321
"ARM","control",2020,10,5585.049,2020-05-23 01:15:00,2020-05-29 12:20:00,9306
"ARM","control",2020,12,42.841,2020-06-09 21:55:00,2020-06-10 07:40:00,586
"ARM","control",2020,14,6194.478,2020-07-23 09:05:00,2020-08-03 05:50:00,15646
"ARM","control",2020,16,127.677,2020-09-09 02:50:00,2020-09-10 05:15:00,1586
"ARM","control",2021,2,393.405,2021-04-27 14:45:00,2021-04-29 03:25:00,2201
"ARM","control",2021,4,1053.136,2021-05-08 21:40:00,2021-05-10 04:40:00,1861
"ARM","control",2021,6,78.112,2021-05-27 04:40:00,2021-05-28 14:25:00,2026
"ARM","control",2021,8,146.699,2021-05-29 16:00:00,2021-05-29 18:10:00,131
"ARM","control",2021,10,83.208,2021-06-25 00:55:00,2021-06-25 09:00:00,486
"ARM","control",2021,12,0.25,2021-06-26 04:25:00,2021-06-26 04:25:00,1
"ARM","control",2021,14,497.483,2021-06-27 09:20:00,2021-06-27 22:00:00,761
"ARM","control",2021,16,479.633,2021-07-05 09:15:00,2021-07-05 21:30:00,736
"ARM","control",2021,18,254.104,2021-07-07 13:35:00,2021-07-07 19:55:00,381
"ARM","control",2021,20,434.115,2021-07-10 00:05:00,2021-07-12 01:20:00,2956
"ARM","control",2021,22,474.433,2021-07-15 08:00:00,2021-07-16 09:25:00,1526
"ARM","control",2021,24,424.051,2021-07-21 09:35:00,2021-07-21 20:15:00,641
"ARM","control",2021,26,29.041,2021-07-31 06:30:00,2021-07-31 10:10:00,221
"ARM","control",2021,28,55.021,2021-07-31 23:25:00,2021-08-01 09:35:00,611
"ARM","control",2021,30,1575.008,2021-08-06 09:35:00,2021-08-08 03:40:00,2526
"ARM","control",2021,32,1668.175,2021-08-10 02:55:00,2021-08-11 22:10:00,2596
"ARM","control",2021,34,166.816,2021-08-31 01:35:00,2021-08-31 21:50:00,1216
"ARM","control",2021,36,872.373,2021-09-13 09:45:00,2021-09-13 23:00:00,796
"ARM","control",2021,38,1.297,2021-09-30 04:40:00,2021-09-30 04:50:00,11
"ARM","control",2021,40,181.056,2021-10-01 10:00:00,2021-10-01 19:55:00,596
"ARM","control",2021,42,84.133,2021-10-10 11:25:00,2021-10-10 15:55:00,271
"ARM","control",2021,44,93.119,2021-10-11 13:45:00,2021-10-11 18:40:00,296
"ARM","control",2021,46,166.792,2021-10-19 10:35:00,2021-10-19 19:20:00,526
"ARM","control",2021,48,2.457,2021-10-24 10:05:00,2021-10-24 18:35:00,511
"ARM","strips",2016,2,0.146,2016-03-15 02:05:00,2016-03-15 02:10:00,6
"ARM","strips",2016,4,1013617.746,2016-03-19 04:40:00,2016-03-19 10:15:00,336
"ARM","strips",2016,6,4400062.927,2016-03-21 01:45:00,2016-03-21 08:05:00,381
"ARM","strips",2016,8,401673.012,2016-04-02 01:45:00,2016-04-02 07:15:00,331
"ARM","strips",2016,10,341.139,2016-04-27 19:00:00,2016-04-28 04:55:00,596
"ARM","strips",2016,12,802.293,2016-04-30 08:15:00,2016-04-30 19:45:00,691
"ARM","strips",2016,14,1604.461,2016-05-26 19:00:00,2016-05-27 08:45:00,826
"ARM","strips",2016,16,3.639,2016-06-26 02:20:00,2016-06-26 07:30:00,311
"ARM","strips",2016,18,0.25,2016-06-27 15:20:00,2016-06-27 15:20:00,1
"ARM","strips",2016,20,30.976,2016-07-02 08:30:00,2016-07-02 21:00:00,751
"ARM","strips",2016,22,5.724,2016-07-07 02:10:00,2016-07-07 02:50:00,41
"ARM","strips",2016,24,33.185,2016-07-11 23:05:00,2016-07-12 19:00:00,1196
"ARM","strips",2016,26,2.669,2016-07-13 10:45:00,2016-07-13 12:50:00,126
"ARM","strips",2016,28,1.321,2016-07-18 03:10:00,2016-07-18 05:55:00,166
"ARM","strips",2016,30,5.829,2016-08-11 21:10:00,2016-08-12 00:35:00,206
"ARM","strips",2016,32,5.485,2016-08-19 18:00:00,2016-08-20 08:05:00,846
"ARM","strips",2016,34,8.406,2016-08-23 23:05:00,2016-08-24 00:35:00,91
"ARM","strips",2016,36,1.939,2016-09-13 02:25:00,2016-09-13 02:35:00,11
"ARM","strips",2016,38,1.064,2016-09-16 00:45:00,2016-09-16 03:10:00,146
"ARM","strips",2016,40,0.689,2016-09-25 04:20:00,2016-09-25 05:00:00,41
"ARM","strips",2016,42,76.057,2016-10-04 16:25:00,2016-10-05 12:35:00,1211
"ARM","strips",2016,44,6.285,2016-10-06 11:35:00,2016-10-06 20:35:00,541
"ARM","strips",2017,2,34.053,2017-04-19 14:35:00,2017-04-19 21:40:00,426
"ARM","strips",2017,4,44.534,2017-04-30 17:10:00,2017-05-01 04:00:00,651
"ARM","strips",2017,6,65.423,2017-05-10 07:25:00,2017-05-10 18:25:00,661
"ARM","strips",2017,8,6.53,2017-05-17 11:10:00,2017-05-17 14:20:00,191
"ARM","strips",2017,10,261.986,2017-05-20 08:25:00,2017-05-20 14:00:00,336
"ARM","strips",2017,12,3436.717,2017-06-16 20:50:00,2017-06-17 06:25:00,576
"ARM","strips",2017,14,7.225,2017-08-15 10:15:00,2017-08-15 13:35:00,201
"ARM","strips",2017,16,139.139,2017-09-25 16:20:00,2017-09-25 23:50:00,451
"ARM","strips",2017,18,0.907,2017-10-06 22:55:00,2017-10-06 23:15:00,21
"ARM","strips",2018,2,3.441,2018-04-24 13:45:00,2018-04-24 15:35:00,111
"ARM","strips",2018,4,0.771,2018-04-24 16:40:00,2018-04-24 17:20:00,41
"ARM","strips",2018,6,0.073,2018-04-24 17:45:00,2018-04-24 17:45:00,1
"ARM","strips",2018,8,85.459,2018-05-03 16:10:00,2018-05-03 21:50:00,341
"ARM","strips",2018,10,0.178,2018-05-14 19:05:00,2018-05-14 20:30:00,86
"ARM","strips",2018,12,43.572,2018-05-15 14:10:00,2018-05-15 19:50:00,341
"ARM","strips",2018,14,11.117,2018-05-16 14:10:00,2018-05-16 19:35:00,326
"ARM","strips",2018,16,21.941,2018-05-17 13:10:00,2018-05-17 14:45:00,96
"ARM","strips",2018,18,24.556,2018-05-18 12:30:00,2018-05-18 19:10:00,401
"ARM","strips",2018,20,29.079,2018-05-30 13:55:00,2018-05-30 20:35:00,401
"ARM","strips",2018,22,50.378,2018-05-31 11:05:00,2018-05-31 13:15:00,131
"ARM","strips",2018,24,941.66,2018-06-01 16:45:00,2018-06-03 15:40:00,2816
"ARM","strips",2018,26,261.009,2018-06-04 15:50:00,2018-06-04 21:55:00,366
"ARM","strips",2018,28,60.325,2018-06-05 10:00:00,2018-06-05 12:55:00,176
"ARM","strips",2018,30,0.326,2018-06-06 13:20:00,2018-06-06 13:25:00,6
"ARM","strips",2018,32,3173.186,2018-06-10 07:05:00,2018-06-13 00:30:00,3926
"ARM","strips",2018,34,220.222,2018-06-13 15:25:00,2018-06-14 19:35:00,1691
"ARM","strips",2018,36,3.887,2018-06-15 07:55:00,2018-06-15 11:35:00,221
"ARM","strips",2018,38,109.202,2018-06-18 18:25:00,2018-06-19 13:10:00,1126
"ARM","strips",2018,40,4.215,2018-07-01 01:35:00,2018-07-01 02:15:00,41
